item,oaid,paper_title,patent,patent_title,patent_assignee,confscore,wherefound,plausible,note
1,2740471031,When does a compliment become sexist? Analysis and classification of ambivalent sexism using twitter data,us-10885279-b2,Determining states of content characteristics of electronic communications,"Microsoft Technology Licensing, LLC",10,frontonly,,
2,2164079290,Design of a Knowledge-Based Report Generator,us-11182556-b1,Applied artificial intelligence technology for building a knowledge base using natural language processing,Narrative Science Inc.,9,frontonly,,
3,2250539671,GloVe: Global Vectors for Word Representation,us-10776581-b2,Multitask learning as question answering,"salesforce.com, inc.",10,frontonly,,
4,2104246439,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,us-10489498-b2,Digital document update,Adobe Inc.,10,frontonly,,
5,2271328876,Learning Distributed Representations of Sentences from Unlabelled Data,us-10789284-b2,System and method for associating textual summaries with content media,"FUJI XEROX CO., LTD.",10,frontonly,,
6,2289899728,Recurrent Neural Network Grammars,us-11042554-b1,Generating compositional natural language by assistant systems,"Facebook, Inc.",9,frontonly,,
7,2783513277,Discovering Rhetoric Agreement between a Request and Response,us-11373632-b2,Using communicative discourse trees to create a virtual persuasive dialogue,Oracle International Corporation,10,frontonly,,
8,2950725899,Interpretable Question Answering on Knowledge Bases and Text,us-11544470-b2,Efficient determination of user intent for natural language expressions based on machine learning,"salesforce.com, inc.",10,frontonly,,
9,1503259811,Retrofitting Word Vectors to Semantic Lexicons,us-11341333-b2,Natural language sentence generation for radiology,Siemens Healthcare GmbH,10,frontonly,,
10,2095627528,Practical Issues in Automatic Documentation Generation,us-10755053-b1,Applied artificial intelligence technology for story outline formation using composable communication goals to support natural language generation (NLG),Narrative Science Inc.,9,frontonly,,
11,2121974041,Transportable Natural-Language Interfaces to Databases,us-10186254-b2, Context-based endpoint detection,Apple Inc.,10,frontonly,,
12,2409591106,Key-Value Memory Networks for Directly Reading Documents,us-11620838-b2,Systems and methods for answering region specific questions,"UATC, LLC",10,frontonly,,
13,2250969425,Motivating Personality-aware Machine Translation,us-10049103-b2, Author personality trait recognition from short texts with a deep compositional &hellip;,Xerox Corporation,10,both,,
14,2740765036,Deep Semantic Role Labeling: What Works and What’s Next,us-11182682-b2,System for extracting semantic triples for building a knowledge base,Babylon Partners Limited,5,frontonly,,
15,2156985047,A Systematic Comparison of Various Statistical Alignment Models,us-10204099-b2,Systems and methods for multi-user multi-lingual communications,"MZ IP Holdings, LLC",10,frontonly,,
16,2787560479,Deep Contextualized Word Representations,us-11526676-b2,Implicit discourse relation classification with contextualized word representation,NAVER CORPORATION,7,frontonly,,
17,2157331557,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,us-10909329-b2,Multilingual image question answering,"Baidu USA, LLC",10,frontonly,,
18,2163514362,Part-of-Speech Induction From Scratch,us-10101822-b2, Language input correction,Apple Inc.,9,frontonly,,
19,2594990650,Massive Exploration of Neural Machine Translation Architectures,us-11113602-b2,Attention-based sequence transduction neural networks,Google LLC,10,frontonly,,
20,2157331557,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,us-10169656-b2, Video system using dual stage attention based recurrent neural network for &hellip;,Nec Corporation,10,frontonly,,
21,2308720496,A Fast Unified Model for Parsing and Sentence Understanding,us-10970475-b2,Method and system for suggesting revisions to an electronic document,"BLACKBOILER, INC.",10,frontonly,,
22,2134353544,Integrating Multiple Knowledge Sources for Detection and Correction of Repairs in Human-Computer Dialog,us-10079014-b2, Name recognition system,Apple Inc.,10,frontonly,,
23,2134353544,Integrating Multiple Knowledge Sources for Detection and Correction of Repairs in Human-Computer Dialog,us-10475446-b2,Using context information to facilitate processing of commands in a virtual assistant,Apple Inc.,10,frontonly,,
24,2973034686,Neural Word Decomposition Models for Abusive Language Detection,us-11295088-b2,Sanitizing word predictions,Apple Inc.,10,frontonly,,
25,2102571217,Quantifier Scoping in the SRI Core Language Engine,us-10083690-b2, Better resolution when referencing to concepts,Apple Inc.,10,frontonly,,
26,2250539671,GloVe: Global Vectors for Word Representation,us-11051739-b2,Neural mapping,INTERNATIONAL BUSINESS MACHINES CORPORATION,10,frontonly,,
27,2612953412,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,us-11532306-b2,Detecting a trigger of a digital assistant,Apple Inc.,10,frontonly,,
