patent_id,title,abstract,assignee,inventor,grant_date,filing_date,priority_date,source
US10002189B2, Method and apparatus for searching using an active ontology," Embodiments of the present invention provide a method and apparatus for searching using an active ontology. One embodiment of a method for searching a database includes receiving a search string, where the search string comprises one or more words, generating a semantic representation of the &hellip;",Apple Inc.,Adam Cheyer,2018-06-19,2008-12-22,2007-12-20,google
US10001899B2, Graphical user interfaces for supporting collaborative generation of life &hellip;, Graphical user interfaces (GUIs) support the collaborative generation of life stories by helping the user view the development of the life stories of other users and facilitating interaction with them through these GUIs. A GUI according to a first type helps the user keep track of recent life &hellip;,Google Llc,Andrew Halliday,2018-06-19,2014-06-20,2006-04-20,google
US10002371B1," System, method, and computer program product for searching summaries of online &hellip;"," A system, method, and computer program product for researching online reviews to assess the performance and functionality of digital media consumer products bought online or not (e.g. eBooks, movies, TV shows, music, DVD&#39;s, etc.). The system extracts reviews from multiple online sources, including &hellip;","Codeq, Llc",Douglas Dane Baker,2018-06-19,2014-07-23,2013-01-02,google
US10006148B2, Drug discovery methods," Methods for identifying disease-related pathways that can be used to identify drug discovery targets, to identify new uses for known drugs, to identify markers for drug response, and related purposes.","QIAGEN Redwood City, Inc.",Richard O. Chen,2018-06-26,2014-07-28,2002-02-04,google
US10007660B2, Contextual language understanding for multi-turn language tasks," Methods and systems are provided for contextual language understanding. A natural language expression may be received at a single-turn model and a multi-turn model for determining an intent of a user. For example, the single-turn model may determine a first prediction of at least one of a domain &hellip;","Microsoft Technology Licensing, Llc",Ruhi Sarikaya,2018-06-26,2017-05-26,2014-12-01,google
US10007679B2, Enhanced max margin learning on multimodal data mining in a multimedia database," Multimodal data mining in a multimedia database is addressed as a structured prediction problem, wherein mapping from input to the structured and interdependent output variables is learned. A system and method for multimodal data mining is provided, comprising defining a multimodal data set &hellip;",The Research Foundation For The State University Of New York,Zhen Guo,2018-06-26,2014-12-29,2008-08-08,google
US10013030B2, Multiple position input device cover," Flexible hinge spine techniques are described. In one or more implementations, a flexible hinge is configured to communicatively and physically couple an input device to a computing device and may implement functionality such as a support layer and minimum bend radius. The input device may also &hellip;","Microsoft Technology Licensing, Llc","David Otto Whitt, III",2018-07-03,2017-02-07,2012-03-02,google
US10013470B2, Automatic detection of claims with respect to a topic," A method comprising using at least one hardware processor for: receiving a topic under consideration (TUC) and content relevant to the TUC; detecting one or more claims relevant to the TUC in the content, based on detection of boundaries of the claims in the content; and outputting a list of said &hellip;",International Business Machines Corporation,Ehud Aharoni,2018-07-03,2015-04-28,2014-06-19,google
US10013482B2, Context-dependent evidence detection," A method comprising using at least one hardware processor for: receiving a context; identifying evidence with respect to the context in at least one content resource, wherein the identifying comprises: identifying context-free features that generally characterize evidence in the at least one &hellip;",International Business Machines Corporation,Ehud Aharoni,2018-07-03,2015-05-25,2014-06-19,google
US10019436B2, Input method and system," The embodiments of the present invention provide an input method, comprising: receiving at least two input English characters; according to the at least two English characters, obtaining a first candidate entry based on a first language; according to the at least two English characters, obtaining &hellip;","Baidu Online Network Technology (Beijing) Co., Ltd.",YiHua Huang,2018-07-10,2014-12-31,2014-03-19,google
