oaid,patent,reftype,confscore,wherefound,arm
2112606109,us-9484036-b2,app,10,frontonly,speaker_id
2112606109,us-9767806-b2,app,10,both,speaker_id
2114347655,us-10607599-b1,app,10,frontonly,speech_general
2114347655,us-10607611-b1,app,10,frontonly,speech_general
2114347655,us-10614809-b1,app,10,both,speech_general
2114347655,us-10614810-b1,app,10,both,speech_general
2114347655,us-10665231-b1,app,10,both,speech_general
2114347655,us-10665241-b1,app,10,both,speech_general
2114347655,us-10726834-b1,app,10,both,speech_general
2114347655,us-2010185436-a1,app,10,frontonly,speech_general
2114347655,us-8219386-b2,app,10,frontonly,speech_general
2114347655,us-9305264-b2,app,10,frontonly,speech_general
2115639689,us-2023048804-a1,app,10,bodyonly,speaker_id
2127995395,us-2011134321-a1,app,10,frontonly,speech_general
2127995395,us-8281231-b2,app,10,frontonly,speech_general
2129244720,us-10354656-b2,app,10,frontonly,speaker_id
2129244720,us-10706857-b1,app,10,both,speaker_id
2129244720,us-10733276-b2,app,10,frontonly,speaker_id
2129244720,us-10872602-b2,app,10,both,speaker_id
2129244720,us-2007255564-a1,app,10,frontonly,speaker_id
2129244720,us-2016225374-a1,app,10,frontonly,speaker_id
2129244720,us-6122612-a,app,10,frontonly,speaker_id
2129244720,us-6141661-a,app,10,frontonly,speaker_id
2129244720,us-6154579-a,app,10,frontonly,speaker_id
2129244720,us-6205428-b1,app,10,frontonly,speaker_id
2129244720,us-6219453-b1,app,10,frontonly,speaker_id
2129244720,us-6223158-b1,app,10,frontonly,speaker_id
2129244720,us-6400310-b1,app,10,both,speaker_id
2129244720,us-6400805-b1,app,10,frontonly,speaker_id
2129244720,us-6901362-b1,app,10,frontonly,speaker_id
2129244720,us-7035793-b2,app,10,frontonly,speaker_id
2129244720,us-7080008-b2,app,10,frontonly,speaker_id
2129244720,us-7181393-b2,app,10,frontonly,speaker_id
2129244720,us-7233898-b2,app,10,both,speaker_id
2129244720,us-7328149-b2,app,10,frontonly,speaker_id
2129244720,us-7363223-b2,app,10,frontonly,speaker_id
2129244720,us-7630899-b1,app,10,frontonly,speaker_id
2129244720,us-7721109-b1,app,10,frontonly,speaker_id
2129244720,us-7904295-b2,app,10,frontonly,speaker_id
2129244720,us-7937260-b1,app,10,frontonly,speaker_id
2129244720,us-8036884-b2,app,10,both,speaker_id
2129244720,us-8050919-b2,app,10,frontonly,speaker_id
2129244720,us-8050920-b2,app,10,frontonly,speaker_id
2129244720,us-8184180-b2,app,10,frontonly,speaker_id
2129244720,us-8185391-b2,app,10,frontonly,speaker_id
2129244720,us-8194900-b2,app,10,frontonly,speaker_id
2129244720,us-8233352-b2,app,10,frontonly,speaker_id
2129244720,us-8396711-b2,app,10,frontonly,speaker_id
2129244720,us-8635243-b2,app,10,bodyonly,speaker_id
2129244720,us-8682665-b2,app,10,frontonly,speaker_id
2129244720,us-8775187-b2,app,10,frontonly,speaker_id
2129244720,us-8886545-b2,app,10,bodyonly,speaker_id
2129244720,us-8949266-b2,app,10,bodyonly,speaker_id
2129244720,us-9047604-b2,app,10,frontonly,speaker_id
2129244720,us-9123330-b1,app,10,frontonly,speaker_id
2129244720,us-9269368-b2,app,10,bodyonly,speaker_id
2129244720,us-9286887-b2,app,10,frontonly,speaker_id
2129244720,us-9293140-b2,app,10,bodyonly,speaker_id
2129244720,us-9495956-b2,app,10,bodyonly,speaker_id
2129244720,us-9520138-b2,app,10,bodyonly,speaker_id
2129244720,us-9544424-b1,app,10,frontonly,speaker_id
2129244720,us-9619572-b2,app,10,bodyonly,speaker_id
2129244720,us-9626971-b2,app,10,frontonly,speaker_id
2129244720,us-9691389-b2,app,10,frontonly,speaker_id
2129244720,us-9881616-b2,app,10,frontonly,speaker_id
2133140841,us-9544733-b2,app,10,frontonly,speaker_id
2133532722,us-7847960-b2,app,10,frontonly,speaker_id
2145008611,us-5109418-a,app,10,both,speech_general
2148296717,us-5862519-a,app,10,bodyonly,speech_general
2148400499,us-8346802-b2,app,10,frontonly,speech_general
2151402979,us-10460043-b2,app,10,frontonly,speech_general
1621749469,us-6590946-b1,app,10,frontonly,speaker_id
1621749469,us-7430506-b2,app,10,frontonly,speaker_id
1623884665,us-6381572-b1,app,10,frontonly,speaker_id
2160042006,us-10007660-b2,app,10,frontonly,speech_general
2160042006,us-10073840-b2,app,10,frontonly,speech_general
2160042006,us-10127901-b2,app,10,frontonly,speech_general
2160042006,us-10235358-b2,app,10,frontonly,speech_general
2160042006,us-10474962-b2,app,10,frontonly,speech_general
2160042006,us-9558176-b2,app,10,frontonly,speech_general
2160042006,us-9690776-b2,app,10,frontonly,speech_general
2160042006,us-9870356-b2,app,10,frontonly,speech_general
2162638563,us-2023085440-a1,app,10,bodyonly,speaker_id
2162638563,us-9700563-b2,app,10,both,speaker_id
2165044314,us-9640177-b2,app,10,frontonly,speaker_id
1643213444,us-5839103-a,app,10,frontonly,speaker_id
1643213444,us-6243695-b1,app,10,frontonly,speaker_id
1643213444,us-7379881-b2,app,10,bodyonly,speaker_id
2166885974,us-5632003-a,app,10,frontonly,speech_general
2169004584,us-6064957-a,app,10,frontonly,speech_general
2169004584,us-7542971-b2,app,10,frontonly,speech_general
2252022287,us-10262654-b2,app,10,frontonly,speech_general
2252022287,us-10366163-b2,app,10,frontonly,speech_general
2404691363,us-10403291-b2,app,10,frontonly,speech_general
2404691363,us-9195656-b2,app,10,frontonly,speech_general
2404691363,us-9905220-b2,app,10,frontonly,speech_general
2404691363,us-9922641-b1,app,10,frontonly,speech_general
2405917661,us-6772119-b2,app,10,frontonly,speaker_id
2411343192,us-7871977-b2,app,10,both,speech_general
2411343192,us-7906479-b2,app,10,both,speech_general
2532535949,us-8209174-b2,app,10,frontonly,speaker_id
2587385466,us-10417329-b2,app,10,frontonly,speech_general
2598503981,us-10657948-b2,app,10,frontonly,speaker_id
2921242383,us-10282533-b2,app,10,bodyonly,speaker_id
2921242383,us-9305298-b2,app,10,frontonly,speaker_id
2921242383,us-9367676-b2,app,10,frontonly,speaker_id
2921242383,us-9396320-b2,app,10,frontonly,speaker_id
2921242383,us-9413533-b1,app,10,frontonly,speaker_id
2921242383,us-9455979-b2,app,10,frontonly,speaker_id
2921242383,us-9736154-b2,app,10,frontonly,speaker_id
2921242383,us-9887983-b2,app,10,frontonly,speaker_id
2921242383,us-9898596-b2,app,10,bodyonly,speaker_id
2921242383,us-9961077-b2,app,10,frontonly,speaker_id
2935837859,us-2022270611-a1,app,10,frontonly,speaker_id
3089203438,us-7225127-b2,app,10,frontonly,speech_general
4247242212,us-10628241-b2,app,10,frontonly,speech_general
4247242212,us-10747596-b2,app,10,frontonly,speech_general
175901819,us-2016247066-a1,app,9,frontonly,speech_general
175901819,us-2017098158-a1,app,9,frontonly,speech_general
1480128403,us-7657430-b2,app,9,frontonly,speech_general
1480128403,us-7680649-b2,app,9,frontonly,speech_general
1503207992,us-5524169-a,app,9,bodyonly,speech_general
1503207992,us-5802251-a,app,9,bodyonly,speech_general
1570944911,us-8121969-b2,app,9,bodyonly,speaker_id
1901836159,us-7574352-b2,app,10,frontonly,speaker_id
2098286805,us-6574601-b1,app,9,frontonly,speaker_id
2129244720,us-8209174-b2,app,9,frontonly,speaker_id
2129244720,us-9002706-b2,app,9,frontonly,speaker_id
2144146199,us-6064958-a,app,9,frontonly,speaker_id
2144146199,us-7058580-b2,app,9,frontonly,speaker_id
2148400499,us-8055603-b2,app,9,frontonly,speech_general
2148400499,us-9202184-b2,app,9,frontonly,speech_general
2153801342,us-9633270-b1,app,9,frontonly,speaker_id
2168603298,us-7907122-b2,app,9,frontonly,speech_general
133554953,us-8862273-b2,app,8,frontonly,speaker_id
1503207992,us-5615296-a,app,8,bodyonly,speech_general
1602534825,us-7200552-b2,app,8,frontonly,speech_general
1602534825,us-7236928-b2,app,8,frontonly,speech_general
2014894389,us-10068586-b2,app,8,frontonly,speech_general
2032339403,us-5181237-a,app,8,frontonly,speaker_id
2032339403,us-6088428-a,app,8,frontonly,speaker_id
2053268784,us-7529602-b2,app,8,frontonly,speaker_id
2129244720,us-6256609-b1,app,8,both,speaker_id
131170453,us-9646613-b2,app,10,frontonly,speaker_id
2574456902,us-2021142783-a1,app,8,frontonly,speech_general
2936103087,us-2021089877-a1,app,8,frontonly,speech_general
2944394478,us-2023076809-a1,app,8,bodyonly,speech_general
2100578078,us-10104174-b2,app,7,frontonly,speech_general
2100578078,us-10516731-b2,app,7,frontonly,speech_general
2100578078,us-10785298-b2,app,7,frontonly,speech_general
2100578078,us-7080004-b2,app,7,frontonly,speech_general
2100578078,us-7200559-b2,app,7,frontonly,speech_general
2100578078,us-7529657-b2,app,7,frontonly,speech_general
2100578078,us-7805302-b2,app,7,frontonly,speech_general
2100578078,us-8160883-b2,app,7,frontonly,speech_general
2100578078,us-8165883-b2,app,7,frontonly,speech_general
2100578078,us-8213917-b2,app,7,frontonly,speech_general
2100578078,us-8224650-b2,app,7,frontonly,speech_general
2100578078,us-8229753-b2,app,7,frontonly,speech_general
2100578078,us-8301436-b2,app,7,frontonly,speech_general
2100578078,us-8571606-b2,app,7,frontonly,speech_general
2100578078,us-8670754-b2,app,7,frontonly,speech_general
2100578078,us-8706491-b2,app,7,frontonly,speech_general
2100578078,us-9069836-b2,app,7,frontonly,speech_general
2100578078,us-9489441-b2,app,7,frontonly,speech_general
2100578078,us-9866632-b2,app,7,frontonly,speech_general
2115332723,us-7685432-b2,app,7,frontonly,speaker_id
2127520494,us-10783875-b2,app,7,frontonly,speech_general
1965949125,us-10446166-b2,app,10,frontonly,speaker_id
133554953,us-10748530-b2,app,10,frontonly,speaker_id
133554953,us-7778821-b2,app,10,frontonly,speaker_id
133554953,us-8082145-b2,app,10,frontonly,speaker_id
133554953,us-8942985-b2,app,10,frontonly,speaker_id
133554953,us-9443516-b2,app,10,frontonly,speaker_id
133554953,us-9632650-b2,app,10,frontonly,speaker_id
133554953,us-9788032-b2,app,10,frontonly,speaker_id
133554953,us-9972317-b2,app,10,frontonly,speaker_id
1570944911,us-10423880-b2,app,6,bodyonly,speaker_id
1570944911,us-10467677-b2,app,6,bodyonly,speaker_id
1570944911,us-10789526-b2,app,6,bodyonly,speaker_id
1570944911,us-7333963-b2,app,6,bodyonly,speaker_id
1570944911,us-7702599-b2,app,6,bodyonly,speaker_id
1570944911,us-7991714-b2,app,6,bodyonly,speaker_id
1570944911,us-8170971-b1,app,6,bodyonly,speaker_id
1570944911,us-8515893-b2,app,6,bodyonly,speaker_id
1570944911,us-8732101-b1,app,6,bodyonly,speaker_id
1570944911,us-8756187-b2,app,6,bodyonly,speaker_id
1570944911,us-8909583-b2,app,6,bodyonly,speaker_id
1570944911,us-9009088-b2,app,6,bodyonly,speaker_id
1570944911,us-9208443-b2,app,6,bodyonly,speaker_id
1570944911,us-9449336-b2,app,6,bodyonly,speaker_id
2160042006,us-7856351-b2,app,6,frontonly,speech_general
2252022287,us-2023186618-a1,app,6,frontonly,speech_general
2745595006,us-7831527-b2,app,6,frontonly,speaker_id
160224403,us-6377913-b1,app,5,both,speech_general
160224403,us-6598020-b1,app,5,frontonly,speech_general
160224403,us-6658388-b1,app,5,frontonly,speech_general
160224403,us-6799169-b1,app,5,frontonly,speech_general
160224403,us-7016827-b1,app,5,both,speech_general
160224403,us-7069220-b2,app,5,frontonly,speech_general
160224403,us-7149688-b2,app,5,frontonly,speech_general
2100578078,us-6983307-b2,app,5,frontonly,speech_general
2100578078,us-7886004-b2,app,5,frontonly,speech_general
2100578078,us-re48126-e,app,5,frontonly,speech_general
1968348705,us-8280087-b1,app,10,frontonly,speaker_id
1968348705,us-9008339-b1,app,10,frontonly,speaker_id
191398319,us-6442295-b2,app,4,bodyonly,speech_general
191398319,us-6512851-b2,app,4,bodyonly,speech_general
191398319,us-8005294-b2,app,4,bodyonly,speech_general
191398319,us-8077973-b2,app,4,bodyonly,speech_general
1971543986,us-10681475-b2,app,10,bodyonly,speech_general
1972845249,us-5317673-a,app,10,both,speech_general
1973747304,us-10736604-b2,app,10,frontonly,speaker_id
1973747304,us-10842811-b2,app,10,bodyonly,speaker_id
191398319,us-6961700-b2,app,10,frontonly,speech_general
1983833855,us-10140991-b2,app,10,frontonly,speaker_id
1983833855,us-10229672-b1,app,10,frontonly,speaker_id
1983833855,us-10403291-b2,app,10,frontonly,speaker_id
1983833855,us-10565996-b2,app,10,frontonly,speaker_id
1983833855,us-10706840-b2,app,10,frontonly,speaker_id
1983833855,us-10803855-b1,app,10,frontonly,speaker_id
1983833855,us-9401148-b2,app,10,frontonly,speaker_id
1983833855,us-9514753-b2,app,10,frontonly,speaker_id
1983833855,us-9620145-b2,app,10,frontonly,speaker_id
1983833855,us-9786270-b2,app,10,frontonly,speaker_id
223783110,us-9741346-b2,app,10,both,speaker_id
1994844177,us-10317992-b2,app,10,frontonly,speech_general
1994844177,us-9412363-b2,app,10,frontonly,speech_general
1994844177,us-9886958-b2,app,10,frontonly,speech_general
613675330,us-2011246411-a1,app,10,frontonly,speaker_id
613675330,us-8838520-b2,app,10,frontonly,speaker_id
29098779,us-2017337923-a1,app,10,frontonly,speech_general
2008557021,us-10839810-b2,app,10,frontonly,speaker_id
2010366750,us-10423820-b2,app,10,frontonly,speech_general
35945539,us-7734460-b2,app,10,frontonly,speech_general
1495875172,us-10270766-b2,app,10,frontonly,speaker_id
1495875172,us-10623404-b2,app,10,frontonly,speaker_id
1495875172,us-8320638-b2,app,10,frontonly,speaker_id
2031502090,us-8433558-b2,app,10,frontonly,speech_general
2031502090,us-8798990-b2,app,10,frontonly,speech_general
2031502090,us-9792904-b2,app,10,frontonly,speech_general
2032339403,us-10319004-b2,app,10,frontonly,speaker_id
2032339403,us-10331763-b2,app,10,frontonly,speaker_id
2032339403,us-10366424-b2,app,10,frontonly,speaker_id
2032339403,us-10373711-b2,app,10,frontonly,speaker_id
2032339403,us-10460288-b2,app,10,frontonly,speaker_id
2032339403,us-10496743-b2,app,10,frontonly,speaker_id
2032339403,us-10504622-b2,app,10,frontonly,speaker_id
2032339403,us-10754925-b2,app,10,frontonly,speaker_id
2032339403,us-5608784-a,app,10,frontonly,speaker_id
2032339403,us-6081782-a,app,10,frontonly,speaker_id
2032339403,us-6097791-a,app,10,frontonly,speaker_id
2032339403,us-6205204-b1,app,10,frontonly,speaker_id
2032339403,us-6445775-b1,app,10,frontonly,speaker_id
2032339403,us-6456698-b1,app,10,frontonly,speaker_id
2032339403,us-6526126-b1,app,10,frontonly,speaker_id
2032339403,us-6529881-b2,app,10,frontonly,speaker_id
2032339403,us-7006605-b1,app,10,frontonly,speaker_id
2032339403,us-9008284-b2,app,10,frontonly,speaker_id
1503207992,us-6615172-b1,app,10,both,speech_general
1503207992,us-6633846-b1,app,10,both,speech_general
1503207992,us-6665640-b1,app,10,both,speech_general
1503207992,us-7139714-b2,app,10,frontonly,speech_general
1503207992,us-7203646-b2,app,10,frontonly,speech_general
1503207992,us-7225125-b2,app,10,frontonly,speech_general
1503207992,us-7277854-b2,app,10,frontonly,speech_general
1503207992,us-7376556-b2,app,10,frontonly,speech_general
1503207992,us-7392185-b2,app,10,frontonly,speech_general
1503207992,us-7555431-b2,app,10,frontonly,speech_general
1503207992,us-7647225-b2,app,10,frontonly,speech_general
1503207992,us-7672841-b2,app,10,frontonly,speech_general
1503207992,us-7698131-b2,app,10,frontonly,speech_general
1503207992,us-7702508-b2,app,10,bodyonly,speech_general
1503207992,us-7725307-b2,app,10,frontonly,speech_general
1503207992,us-7725320-b2,app,10,frontonly,speech_general
1503207992,us-7725321-b2,app,10,frontonly,speech_general
1503207992,us-7831426-b2,app,10,frontonly,speech_general
1503207992,us-7873519-b2,app,10,frontonly,speech_general
1503207992,us-7912702-b2,app,10,frontonly,speech_general
1503207992,us-8229734-b2,app,10,frontonly,speech_general
1503207992,us-8352277-b2,app,10,frontonly,speech_general
1503207992,us-8762152-b2,app,10,frontonly,speech_general
1503207992,us-9076448-b2,app,10,frontonly,speech_general
